Word,Color,Freq,Percentage,Type
Cheer,Orange,6,6%,Positive
Cheer,White,5,5%,Positive
Cheer,Purple,4,4%,Positive
Cheer,Green,3,3%,Positive
Cheer,Maroon,1,1%,Positive
Confident,Red,32,31%,Positive
Confident,Blue,26,25%,Positive
Confident,Yellow,13,13%,Positive
Confident,Purple,6,6%,Positive
Confident,White,4,4%,Positive
Confident,Pink,4,4%,Positive
Confident,Green,4,4%,Positive
Confident,Gold,4,4%,Positive
Confident,Black,3,3%,Positive
Confident,Orange,3,3%,Positive
Confident,Violet,2,2%,Positive
Confident,Turquoise,1,1%,Positive
Elated,Yellow,21,21%,Positive
Elated,White,21,21%,Positive
Elated,Blue,21,21%,Positive
Elated,Red,9,9%,Positive
Elated,Pink,6,6%,Positive
Elated,Purple,5,5%,Positive
Elated,Gray,5,5%,Positive
Elated,Green,5,5%,Positive
Elated,Orange,2,2%,Positive
Elated,Brown,2,2%,Positive
Elated,Black,1,1%,Positive
Elated,Baby blue,1,1%,Positive
Friendly,Yellow,41,41%,Positive
Friendly,Blue,18,18%,Positive
Friendly,Pink,16,16%,Positive
Friendly,Red,11,11%,Positive
Friendly,Green,7,7%,Positive
Friendly,Purple,3,3%,Positive
Friendly,Orange,3,3%,Positive
Friendly,Peach,1,1%,Positive
Grateful,Blue,22,22%,Positive
Grateful,Yellow,17,17%,Positive
Grateful,Green,15,15%,Positive
Grateful,White,8,8%,Positive
Grateful,Purple,8,8%,Positive
Grateful,Red,7,7%,Positive
Grateful,Pink,7,7%,Positive
Grateful,Orange,6,6%,Positive
Grateful,Gray,5,5%,Positive
Grateful,Lilac,1,1%,Positive
Grateful,Beige,1,1%,Positive
Grateful,Cream,1,1%,Positive
Grateful,Coral,1,1%,Positive
Grateful,Lime green,1,1%,Positive
Grateful,Black,1,1%,Positive
Happy,Yellow,53,53%,Positive
Happy,Red,17,17%,Positive
Happy,Pink,11,11%,Positive
Happy,Blue,8,8%,Positive
Happy,Green,6,6%,Positive
Happy,Purple,2,2%,Positive
Happy,White,2,2%,Positive
Happy,Bright red,1,1%,Positive
Hopeful,Blue,29,29%,Positive
Hopeful,White,28,28%,Positive
Hopeful,Yellow,18,18%,Positive
Hopeful,Pink,9,9%,Positive
Hopeful,Red,5,5%,Positive
Hopeful,Orange,3,3%,Positive
Hopeful,Green,1,1%,Positive
Hopeful,Silver,1,1%,Positive
